tree_lat,tree_lon,bearing,road_lat,road_lon,CONDITIE,original_lat,original_lon,adjustment
51.988270913461406,4.33330211174773,223.66005988044913,51.98849987306684,4.33365691007078,Slecht,51.98845494666075,4.333678855868453,-5m
51.988270913461406,4.33330211174773,240.4653162773538,51.98841002025466,4.3337008016661285,Slecht,51.98845494666075,4.333678855868453,+5m
51.99140827912242,4.333334992219838,210.14991809803416,51.99146098023851,4.333384703407996,Slecht,51.991460705517376,4.333334704162719,+5m
52.00700851836923,4.326904023946679,288.20251157377584,52.00699343134271,4.326978558299739,Slecht,52.00703687751017,4.326953810965882,-5m
52.00700851836923,4.326904023946679,192.115128557232,52.00708032367763,4.326929063632023,Slecht,52.00703687751017,4.326953810965882,+5m
51.99093059064908,4.331663784046064,321.31326648531893,51.990886086295774,4.331721657713776,Slecht,51.99087807944323,4.331672302974264,-5m
51.99093059064908,4.331663784046064,22.56358943098968,51.99087007259068,4.3316229482347515,Slecht,51.99087807944323,4.331672302974264,+5m
51.99098070375031,4.33085881670941,162.05106435449022,51.99111821009198,4.330786481358206,Dood,51.99112600967709,4.330835869276488,-5m
51.99098070375031,4.33085881670941,186.0643936767858,51.99113388494229,4.330885244859063,Dood,51.99112600967709,4.330835869276488,+5m
51.989119774690444,4.329933350614813,346.8421444507838,51.98887398078624,4.330026658024763,Slecht,51.988865449427664,4.3299773912416235,-5m
51.989119774690444,4.329933350614813,0.7014745568435501,51.9888569180691,4.329928124458483,Slecht,51.988865449427664,4.3299773912416235,+5m
51.990363338247185,4.329382171232539,149.5823737763514,51.99054116116869,4.329212631476766,Dood,51.990567577086196,4.329255083794754,-5m
51.990363338247185,4.329382171232539,167.2674965272564,51.99059399300369,4.329297536112745,Dood,51.990567577086196,4.329255083794754,+5m
51.992842489295164,4.333451364292446,321.4793041957434,51.992718963827514,4.333611052424864,Slecht,51.992764857012176,4.333630897212634,-5m
51.992842489295164,4.333451364292446,284.49523016810326,51.99281075019684,4.333650742000402,Slecht,51.992764857012176,4.333630897212634,+5m
51.992166054983734,4.3330239794002345,333.0283304358131,51.99210864636911,4.333071424786694,Slecht,51.99215812809942,4.333078605202142,-5m
51.992166054983734,4.3330239794002345,222.48529151195137,51.99220760982973,4.333085785617591,Slecht,51.99215812809942,4.333078605202142,+5m
51.992375114773616,4.333037789789849,326.7477480425272,51.992315357375674,4.333101421128693,Slecht,51.99236483910598,4.333108601544142,-5m
51.992375114773616,4.333037789789849,230.8320073873528,51.992414302143715,4.333115909148006,Slecht,51.99236483910598,4.333108601544142,+5m
51.99255632052095,4.333059884836689,325.346515237835,51.9924956307901,4.33312801277685,Slecht,51.992545086109246,4.333135372899684,-5m
51.99255632052095,4.333059884836689,233.15908783101025,51.99259454142839,4.333142733022518,Slecht,51.992545086109246,4.333135372899684,+5m
51.99256084076507,4.333066782240096,327.42195355776636,51.99250105734131,4.333128820376197,Slecht,51.99255051266045,4.333136180499031,-5m
51.99256084076507,4.333066782240096,230.38118179838492,51.992599967979594,4.333143540621864,Slecht,51.99255051266045,4.333136180499031,+5m
51.99243240797409,4.333371787763634,317.2668794788788,51.99234888177168,4.33349710375037,Slecht,51.99239733383774,4.333509448680307,-5m
51.99243240797409,4.333371787763634,261.7590832509977,51.99244578590379,4.333521793610244,Slecht,51.99239733383774,4.333509448680307,+5m
52.0079702373392,4.3325342424117705,165.09481505119038,52.00804213848548,4.332503150990114,Goed,52.0080077,4.3325394,-5m
52.0079702373392,4.3325342424117705,184.84394150471542,52.0080077,4.3325394,Goed,52.0080077,4.3325394,+5m
52.00806584687667,4.332798617244028,156.8627100887328,52.00812945465968,4.332754461717053,Goed,52.0080949,4.3327906,-5m
52.00806584687667,4.332798617244028,170.35964481483063,52.0080949,4.3327906,Goed,52.0080949,4.3327906,+5m
52.00834860668304,4.332389237148123,10.571534444908423,52.008287174950595,4.332370611345827,Goed,52.00831534599426,4.332411919847358,-5m
52.00834860668304,4.332389237148123,277.3625911202061,52.00834351703793,4.332453228348888,Goed,52.00831534599426,4.332411919847358,+5m
52.008165233884434,4.333056276964998,153.24969616477733,52.00823112862749,4.333002318453787,Goed,52.0082022,4.3330431,-5m
52.008165233884434,4.333056276964998,167.62433456471126,52.0082022,4.3330431,Goed,52.0082022,4.3330431,+5m
52.00827575296692,4.333296371992418,150.51465663782767,52.00833822189909,4.333238988747784,Goed,52.0083105,4.3332806,-5m
52.00827575296692,4.333296371992418,164.3894958403763,52.0083105,4.3332806,Goed,52.0083105,4.3332806,+5m
52.008645561816074,4.332983308773328,35.73005720049093,52.00861092552367,4.332942830226437,Goed,52.00862832081711,4.3329897066999195,-5m
52.008645561816074,4.332983308773328,269.7304376071108,52.00864571611054,4.333036583173404,Goed,52.00862832081711,4.3329897066999195,+5m
52.00856137377391,4.3327716956107425,27.853430126245712,52.00852097282809,4.332737012165595,Goed,52.00854539929594,4.3327806395385196,-5m
52.00856137377391,4.3327716956107425,260.6641346210648,52.00856684564225,4.332825768093886,Goed,52.00854539929594,4.3327806395385196,+5m
52.00846072540327,4.332576973573448,15.587418665461655,52.008405789391695,4.332552076278538,Goed,52.00843181341505,4.332594767688334,-5m
52.00846072540327,4.332576973573448,274.16276218533983,52.00845802055328,4.332637349209045,Goed,52.00843181341505,4.332594767688334,+5m
52.010557054016445,4.333165760547567,353.1899179385229,52.01048956009304,4.333178855585494,Dood,52.01051872015329,4.333138239198576,-5m
52.010557054016445,4.333165760547567,77.66160018619621,52.010547880213544,4.3330976228116596,Dood,52.01051872015329,4.333138239198576,+5m
